Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;07/10/2007;Real Madrid;Recreativo;2;0;H;0;0;D;13;14;4;3;9;23;4;7;1;7;0;0;125;55;12;127;494;1008;166;209;;
SP1;07/10/2007;Santander;Valladolid;2;0;H;0;0;D;7;12;5;4;17;21;2;5;3;2;0;1;21;33;35;2;321;359;207;167;;
SP1;07/10/2007;Sevilla;La Coruna;0;1;A;0;0;D;13;11;4;3;21;16;7;4;4;2;0;0;144;42;75;142;392;755;181;193;;
SP1;07/10/2007;Zaragoza;Levante;3;0;H;0;0;D;18;6;6;3;16;10;8;2;1;2;0;0;144;42;75;146;382;697;194;181;;
SP1;20/10/2007;Espanol;Real Madrid;2;1;H;1;0;H;16;9;5;4;29;16;6;2;2;3;0;0;36;33;205;365;326;197;185;189;;
SP1;20/10/2007;La Coruna;Valencia;2;4;A;1;3;A;18;6;3;6;14;22;6;2;2;0;0;1;31;325;23;303;318;225;211;165;;
SP1;20/10/2007;Levante;Sevilla;0;2;A;0;2;A;5;15;1;7;18;14;5;3;3;2;0;0;575;37;161;545;349;161;196;179;;
SP1;20/10/2007;Villarreal;Barcelona;3;1;H;3;1;H;8;13;4;6;13;21;0;9;1;3;0;0;42;35;185;4;33;186;176;198;;
SP1;21/10/2007;Almeria;Osasuna;2;0;H;0;0;D;13;10;5;3;17;11;6;5;2;2;0;1;237;325;3;231;317;292;209;166;;
SP1;21/10/2007;Ath Madrid;Zaragoza;4;0;H;2;0;H;17;10;8;3;14;15;3;6;3;5;0;0;19;34;4;189;326;395;202;173;;
SP1;21/10/2007;Betis;Santander;1;1;D;0;0;D;12;25;1;5;12;11;6;5;3;3;1;0;2;33;375;209;319;334;215;162;;
SP1;21/10/2007;Getafe;Murcia;2;0;H;0;0;D;6;7;2;2;18;21;5;6;2;3;1;0;2;33;375;203;321;35;213;163;;
SP1;21/10/2007;Recreativo;Mallorca;0;2;A;0;1;A;18;11;4;4;19;21;7;2;2;0;0;0;237;325;3;23;317;294;207;167;;
SP1;21/10/2007;Valladolid;Ath Bilbao;1;2;A;0;2;A;21;7;7;2;12;21;13;3;1;5;0;0;225;325;32;222;319;306;208;167;;
SP1;27/10/2007;Ath Bilbao;Betis;0;0;D;0;0;D;17;6;4;4;17;19;11;2;5;4;0;0;21;325;36;206;32;345;218;16;;
SP1;27/10/2007;Mallorca;Espanol;2;2;D;1;2;A;16;8;6;1;19;26;8;1;6;2;1;1;23;325;31;224;317;306;195;18;;
SP1;27/10/2007;Real Madrid;La Coruna;3;1;H;1;1;D;20;11;10;2;17;14;4;5;4;3;0;1;13;5;11;129;468;973;168;207;;
SP1;28/10/2007;Barcelona;Almeria;2;0;H;1;0;H;14;7;6;3;16;12;11;0;2;3;0;0;118;65;15;119;582;1351;152;236;;
SP1;28/10/2007;Levante;Ath Madrid;0;1;A;0;1;A;7;13;2;5;15;12;10;6;3;1;0;0;5;38;166;508;341;166;194;181;;
