date;club;country;elo
15/02/2015;Ponferradina;ESP;156821
15/02/2015;Real Madrid;ESP;206568
15/02/2015;Recreativo;ESP;148154
15/02/2015;Sabadell;ESP;147577
15/02/2015;Santander;ESP;150964
15/02/2015;Sevilla;ESP;182523
15/02/2015;Sociedad;ESP;173349
15/02/2015;Sp Gijon;ESP;165183
15/02/2015;Tenerife;ESP;149159
15/02/2015;Valencia;ESP;184435
15/02/2015;Valladolid;ESP;168104
15/02/2015;Vallecano;ESP;165757
15/02/2015;Villarreal;ESP;182250
15/02/2015;Zaragoza;ESP;160308
01/03/2015;Alaves;ESP;154757
01/03/2015;Albacete;ESP;149597
01/03/2015;Alcorcon;ESP;155122
01/03/2015;Almeria;ESP;165538
01/03/2015;Ath Bilbao;ESP;174025
01/03/2015;Ath Madrid;ESP;196238
01/03/2015;Barcelona;ESP;202792
01/03/2015;Barcelona B;ESP;152281
01/03/2015;Betis;ESP;166938
01/03/2015;Celta;ESP;174565
01/03/2015;Cordoba;ESP;159317
01/03/2015;Eibar;ESP;164841
01/03/2015;Elche;ESP;165494
01/03/2015;Espanol;ESP;170896
01/03/2015;Getafe;ESP;168049
01/03/2015;Girona;ESP;162707
01/03/2015;Granada;ESP;163367
01/03/2015;La Coruna;ESP;164680
01/03/2015;Las Palmas;ESP;164324
01/03/2015;Leganes;ESP;155152
01/03/2015;Levante;ESP;167666
01/03/2015;Llagostera;ESP;151897
01/03/2015;Lugo;ESP;153294
01/03/2015;Malaga;ESP;175967
01/03/2015;Mallorca;ESP;155763
01/03/2015;Mirandes;ESP;152067
01/03/2015;Numancia;ESP;157902
01/03/2015;Osasuna;ESP;156140
01/03/2015;Ponferradina;ESP;156794
01/03/2015;Real Madrid;ESP;207220
01/03/2015;Recreativo;ESP;147789
01/03/2015;Sabadell;ESP;147982
01/03/2015;Santander;ESP;149890
01/03/2015;Sevilla;ESP;183080
01/03/2015;Sociedad;ESP;174402
01/03/2015;Sp Gijon;ESP;165130
01/03/2015;Tenerife;ESP;150942
01/03/2015;Valencia;ESP;185327
01/03/2015;Valladolid;ESP;168086
01/03/2015;Vallecano;ESP;167869
01/03/2015;Villarreal;ESP;182082
01/03/2015;Zaragoza;ESP;158802
15/03/2015;Alaves;ESP;154714
15/03/2015;Albacete;ESP;150064
15/03/2015;Alcorcon;ESP;155915
15/03/2015;Almeria;ESP;164910
15/03/2015;Ath Bilbao;ESP;177106
15/03/2015;Ath Madrid;ESP;195137
15/03/2015;Barcelona;ESP;203247
15/03/2015;Barcelona B;ESP;151681
15/03/2015;Betis;ESP;167998
15/03/2015;Celta;ESP;172413
15/03/2015;Cordoba;ESP;158475
15/03/2015;Eibar;ESP;163236
15/03/2015;Elche;ESP;166532
15/03/2015;Espanol;ESP;170796
15/03/2015;Getafe;ESP;168847
15/03/2015;Girona;ESP;161838
15/03/2015;Granada;ESP;163568
15/03/2015;La Coruna;ESP;163830
15/03/2015;Las Palmas;ESP;164026
